time,mesh,ex_volume
2024-03-02 00:00:00,503301364,104
2024-03-02 00:00:00,503301371,132
2024-03-02 00:00:00,503301424,66
2024-03-02 00:00:00,503301431,100
2024-03-02 00:00:00,503301432,77
2024-03-02 00:00:00,503301433,78
2024-03-02 00:00:00,503301434,102
2024-03-02 00:00:00,503301442,83
2024-03-02 00:00:00,503301443,127
2024-03-02 00:00:00,503301444,317
2024-03-02 00:00:00,503301451,106
2024-03-02 00:00:00,503301452,202
2024-03-02 00:00:00,503301453,101
2024-03-02 00:00:00,503301464,76
2024-03-02 00:00:00,503301471,99
2024-03-02 00:00:00,503301472,78
2024-03-02 00:00:00,503301481,112
2024-03-02 00:00:00,503301483,86
2024-03-02 00:00:00,503301484,106
2024-03-02 00:00:00,503301491,855
2024-03-02 00:00:00,503301492,247
2024-03-02 00:00:00,503301493,90
2024-03-02 00:00:00,503301494,81
2024-03-02 00:00:00,503301524,79
2024-03-02 00:00:00,503301531,100
2024-03-02 00:00:00,503301532,111
2024-03-02 00:00:00,503301534,72
2024-03-02 00:00:00,503301542,71
2024-03-02 00:00:00,503301551,107
2024-03-02 00:00:00,503301552,145
2024-03-02 00:00:00,503301553,83
2024-03-02 00:00:00,503301554,133
2024-03-02 00:00:00,503301563,77
2024-03-02 00:00:00,503301572,87
2024-03-02 00:00:00,503301574,343
2024-03-02 00:00:00,503301581,91
2024-03-02 00:00:00,503301582,90
2024-03-02 00:00:00,503301583,243
2024-03-02 00:00:00,503301584,104
2024-03-02 00:00:00,503301591,90
2024-03-02 00:00:00,503301624,81
2024-03-02 00:00:00,503301631,99
2024-03-02 00:00:00,503301632,61
2024-03-02 00:00:00,503301633,94
2024-03-02 00:00:00,503301634,1018
2024-03-02 00:00:00,503301642,238
2024-03-02 00:00:00,503301644,184
2024-03-02 00:00:00,503301651,721
2024-03-02 00:00:00,503301652,105
2024-03-02 00:00:00,503301654,79
2024-03-02 00:00:00,503301661,88
2024-03-02 00:00:00,503301663,141
